Link,PubMed ID
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034697980&partnerID=40&md5=19d4fd64e8098416888038d380fa17e4",10891285
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023062991&partnerID=40&md5=345b4efb13785c9841563813a9f3775f",3113327
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037015614&partnerID=40&md5=9c0b3cb88dc303ee8205b3b1bbc14cee",12368864
"http://www.scopus.com/inward/record.url?eid=2-s2.0-46249106990&partnerID=40&md5=940dab74c7c0fbe7b8bda0049587fafb",18516045
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346094457&partnerID=40&md5=8b3bfef0f9de81813a814fdaa04d5d3d",14697198
"http://www.scopus.com/inward/record.url?eid=2-s2.0-8444251784&partnerID=40&md5=bcb1d384ff231fe98a8a28845963a67c",15473860
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033529707&partnerID=40&md5=529610e48293e2ca5790070842003272",10436161
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035066383&partnerID=40&md5=593fa59ab6090318f6516bc472375a4e",11274345
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028057613&partnerID=40&md5=5e28fe5eb1ed31679e66bcb8f7d22b4f",8106557
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028798434&partnerID=40&md5=f021c05a2cdf5cb25634ec21d3be060f",7744317
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035863097&partnerID=40&md5=791247eaba65c2ffe6c9f6da8302a614",11157775
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033615717&partnerID=40&md5=0d0ddc41b1d034d31cc8bb7c455c1cb0",10555141
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026708177&partnerID=40&md5=be040fd6eee56b194803a0b53b177ed8",1606615
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021891884&partnerID=40&md5=161f24311b462d4bedef74da14ba5876",3896128
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0344305784&partnerID=40&md5=f8e9f6dc6d944f95f3423b510b4b5842",14657486
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023885305&partnerID=40&md5=53d8b6c31eb9fa8d66c2d2a8b9d21bee",3291115
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038125598&partnerID=40&md5=043f426b0a4ccdf0d53fb0ae35dadd7e",12838335
"http://www.scopus.com/inward/record.url?eid=2-s2.0-77949535720&partnerID=40&md5=8d91bb4a47fe0fb02cc59b2046d832b2",20383002
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032499260&partnerID=40&md5=5259319c15dec3cee3a193df4b09d9fd",9560152
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028922586&partnerID=40&md5=a4c2c59c3e3a7856ab185272f9a3ee0f",7630882
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0142184341&partnerID=40&md5=f71712255f10ba5c5bed0d1cde2bbaa7",14562095
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036083396&partnerID=40&md5=fd42ac92ace009a2724c4ec53a394fe5",11917093
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032568655&partnerID=40&md5=bbbe7493d65fdeaad0dc41d5aa3dbe90",9600884
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037459075&partnerID=40&md5=0aef3cb0283302e2ab5ba0eb49f8be7a",12600310
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028509254&partnerID=40&md5=d13b68d1700efbc70c6dc2c2e21ebc10",7828077
"http://www.scopus.com/inward/record.url?eid=2-s2.0-50249100595&partnerID=40&md5=1c97624e2cbe918cd81a907d3a77b234",18853362
"http://www.scopus.com/inward/record.url?eid=2-s2.0-9144257886&partnerID=40&md5=cc9aca180bdbe0b952c5fed1de91f2c9",14681378
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0006925492&partnerID=40&md5=21ccd2eb039d76ea3198c4a1b8ae8380",
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024266139&partnerID=40&md5=0fc7acceb18bb3b79ca978d0015d42ac",3073106
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022552131&partnerID=40&md5=94f0c4bb216f15df5ca5e296b32cffa2",3943125
"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746808398&partnerID=40&md5=a91eb8c26afe665b40a55042df2d97fa",17081971
"http://www.scopus.com/inward/record.url?eid=2-s2.0-17144436629&partnerID=40&md5=b8273ec904f3dc77f2a4c70394fecf80",9090379
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030898417&partnerID=40&md5=ebf6d8aa8dc66cb4ec0c0884dba61e2a",9069255
